Lab;Predio;Sala;Detalhe sala (mesa, armário, etc);Nome Equipamento ;Apelido;Tipo;Fabricante;Moeda;Custo de aquisição;Agência financiadora;ID_grupo (partes do mesmo conjunto têm o mesmo número de ID_grupo);Responsável;Potência elétrica;Unidade potencia elétrica;Tensão elétrica minima (V);Tensão elétrica máxima (V);Detalhe da alimentação elétrica (bivolt, trifásico, etc);Outras alimentações (ar, água, etc);Modelo;Spec1;Unidade Spec1;Spec2;Unidade Spec2;Nacionalidade;Ano de aquisição ;Apelido projeto compra;Sistema de patrimônio principal;Numero de patrimônio principal;Finalidade principal;Intervalo de calibração;Condição Equipamento;Data Atualização;Pasta de documentos;OBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;auxiliar
LPM;2;8;;microscopio;nikon;microscopio;NIKON;;;;;alzira;;;110;;;;epiphot 200;1000x;;;;;2010;fapesp 2010 ;;USP 1638/0004;observação microscopica;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;computador  do microscopio Nikon;;ZZ Parte de um equipamento;infoway ;;;;;alzira;;;110;;;;;windows 7;;;;;;;;003134;realizar  fotos micrograficas  e analise quantitativa ;;;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;microscopio;Carl Zeiss;microscopio;Carl Zeiss;;;;;alzira;;;110;;;;AXIO OBSERVER Z1m;2500x;;;;;2015;Interciment;;005381 / 005382 ;observação microscopica;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;computador  do microscopio Carl zeiss;;computador;hp;BRL;16980,00;;;alzira;;;110;;;;z840 ;32GB;2X2 TB;;;BRASILEIRA;2015;Interciment;;005311;realizar  fotos micrograficas  e analise quantitativa ;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;lupa  estereoscopica;;lupa;leica;BRL;48737,41;;;alzira;;;110;;;;M165;100x;;;;;;;;046093 / 003900;observação imagem até 1000x em lupa;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;computador  da lupa;;computador;infoway;;;;;alzira;;;110;;;;;;;;;;;;;;IMAGEM E FOTO LUPA;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;desumidificador;;desumidificador;Arsec;;;;;alzira;;;220;;;;160D;;;;;brasileira;;;;006112;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;8;;ar condicionado;;Ar Condicionado;springer;;;;;alzira;;;110;;;;maxflex;;;;;brasileira;;FINEP/FUSP;;;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Agitador de Tubos Vortex ;;Agitador;LABNET;BRL;1.250,00;;;Maciel;72;VA;120;120;60 Hz, 0,6 A;monofasico;S0200;;;;;EUA;06/04/2016;Silício;;5451;Homogeneização de amostras líquidas com movimento de vortex;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Analisador de Oxigênio,Nitrogênio e Hidrogênio;;Analisador Quimico;LECO;BRL;495.799,48;;;Maciel;15;kVA;220;230;50/60 Hz;monofasico;ONH 836;;;;;EUA;23/02/2016;Próteses ;FIPT geral;21112;Determinação de Oxigênio, Nitrogênio e Hidrogênio em amostras inorgânicas.;diário, com padrões cadastrados pelo fabricante;em funcionamento;04/10/2022;LPM02AQ001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
